Not area reside great ,-0.523
Nice ,1.0
good right time ,0.592
not install ,0.0
Poor delivery ,-0.756
not receive food going buy second food reimburse st one not receive ,0.0
Worst ,-1.0
Good ,1.0
time ,0.0
Excellent fast delivery ,0.649
finishing order order not notification went order thing minute later cancellation fee awful service ,-0.188
agree app not ,0.556
Fast friendly ,0.762
Ordered time showing card zero star shame ,-0.341
service mess order arrive driver restaurant food finally going delivery minute far house Near place receive notice order cancel : hour waiting ,-0.191
problem eats not verify people food properly given refund account maybe - business days got free meal ! ! ! ! time food ? ? ? ? ,0.113
Quick response ,0.0
love convenience ,0.808
Great service ,0.804
platinum member not decent support issue account unhappy user primary mode travel Guess switching ,-0.297
Forget app delivery stink monthly membership nt work ,-0.434
Horrible customer service multiple order ! not recommend app not value loyal not refund food ! good money good food logical solution failure service refund carelessly unprofessionally Use literally app ! upsetting ! ,-0.48600000000000004
not currently working vehicle dining app perfect family use pretty good wide variety choose like fact tip directly app like fact driver like car drive Definitely going ,0.5
Phenomenal ,0.0
Map correctly address driver wrong place address account no fix ,-0.398
Eh ,0.0
Easy ,1.0
,0.0
Ha en la de y el ,0.375
Great delivery app ! ,0.687
Tried order food kept saying error half hour trying not able order food ,-0.184
Fast efficient tried food delivery best ,0.636
working completely fine outside not working ,0.295
Excellent job ,0.787
Install app right away phone number Ode account no sign immediately ,-0.072
Wo not let look Waste money food ,0.28
Driver drove grass got husband not happy ,-0.333
Great Experience ! ,0.815
order wrong ordered chicken sandwich comes one drink ordered Cajun rice drink ordered Strawberry chicken sandwich ordered ,-0.162
delivery sky past occasionally no longer worth recent order cost picked delivery no longer service cost ,-0.118
Great app Nicely laid easy use good selection ,0.762
Best worst app ! ! stop food impulse : face joy : : face joy : bad experience awesome delivery people smooth customer service reps budget eats ,0.16599999999999998
App simple use works ,0.0
alright till recent update bit buggy ,0.286
Wo nt accept ( Canada ) Forcing people use credit cool ,0.556
Wow love app amazing idea not self ,0.747
order pay place reach house time thing block ,-0.307
inexpensive service comparison receive missing incorrect believe communication app address pleasant interaction ,0.07100000000000001
consistently missing extremely long receive food driver available rarely warm ,-0.326
app days ago lot time address not let ,0.0
not register wo nt accept cell number example telling account not password rate star ,0.245
app coming soon eats ! ! sort ! ! ,0.0
far good ,0.744
Cool ,1.0
Disgusting term policy not help ! ! ,-0.675
wait time food ridiculous ! ! sons not sick went gotten food ! ! damn ! ! ,-0.215
App not let place multiple time ,0.0
Excellent ,1.0
food issue no help issue customer service chat rude ,-0.18
free delivery order destination ! Competition not feature app clean working perfectly ! ,0.318
Great ,1.0
Supposedly big company not app refund like eat not use eat way better service ,0.04600000000000001
not working got new card not purchase food disappointed service Supposed professional service clearly run bunch absolute Not happy ,0.093
live nt cook basically eats wife ! Love good work ,0.514
Great timely pleasant ,0.881
consistently mess no responsibility service Customer service rude helpful lost multiple time no clue order Save headache use app ,-0.20500000000000002
Great ,1.0
Slow hour not receive food nt refund order received Use people easier work not incompetent ,0.292
Love app ,0.808
best app ,0.808
Great app ,0.804
Great variety ! service ! ,0.701
,0.0
bad customer service ! False advertisement Big disappointment not recommend ,-0.605
Update / recommend thinking app not Simply not driver gone wrong not wrong not / Hey recently tried app time not honestly garbage tell severe disconnect Combined extra honestly not worth ,-0.04199999999999998
Stop ,-1.0
Slow service not address ,0.0
not ,0.0
like inform Subway change want select different order ,0.388
,0.0
Ce site tout ! ! ! ! ! ! bat service client pour d n e La r j ai j v si mon tait rester c t de mon t l phone pour d bile car l j ai bien la si j u un j eu son de t l phone j t en de ,-0.084
Easy use issue directly eats ,0.42
order got refund order ? ,0.0
bad experience times app time update Certainly not ,-0.09199999999999997
not set new account ,0.0
app far Great job ,0.577
app change order knowing late not ensure order not pick deliver customer service joke try deal hassle try fix wrongly money app credit instead money not waste time ,0.148
Excellent ,1.0
not food comes incredibly late not quality Alas use app no vehicle :( ,-0.195
Excellent ,1.0
Good people good food papa ,0.659
Good overall ! ! Ridiculously small order fee stupid ! ,-0.278
bien ,0.0
great super helpful work eating hard ,0.662
Great use appear everyday ,0.577
deliver door not ,0.0
,0.0
App unusable ,0.0
misleading ordered special menu label Buy received think buy menu buy item buy menu ? total scam ,-0.16799999999999998
App usually missing maybe feature like share meal pay order want ,0.154
Love easy use wish people use app eat ,0.662
Great service Amazing ! ! ! ,0.898
Good ,1.0
hour order driver went order restaurant not order no food use use ,0.146
La app es r y n la n - ,0.0
Customer service not straightforward issue past order app said order received ,0.0
not login ,0.0
best ,1.0
con al ,0.0
job app ,0.0
Great Love delivery service annoying service unavailable Wish not expensive delivery ,0.401
love app : smiling face heart - : : smiling face heart - : : smiling face heart - : : smiling face heart - : not : face joy : love ,0.503
not turn special ? turn watch tell order soon watch buzzing mystery promotion thinly veiled way open app lunch time app pushing special saying not order ? location far order restaurant not restaurant app ! Uninstalled ,-0.143
Horrible customer support app nt find speak help situation / finally uninstalled app member ,0.10099999999999998
? ? ? ? ,0.0
happy service use ! ! ,0.682
Eats failing protect service not count no longer use job facilitator insure fair multiple times lost business result ,0.04600000000000001
days ago ordered twice days injured not walk drive days not look like mobile week found Eats immediately exactly ordered best tight spot busy not want deal going Eats today highly recommend app ,0.02300000000000002
eats disgraceful constantly wait Customer service shocking completely unhelpful Overall terrible experience Edit : tried contact support like received basic response time basically ignore said stated touch contact provide link contact number ,-0.05199999999999999
Easy app great service ,0.778
,0.0
Lots thanks ,0.744
worst customer service experience unprofessional lazy auto reply ,-0.664
update app lot loading completely ,0.0
Love easy use good not transportation little costly ,0.735
ordered small vanilla ice cap milk got chocolate milk ice cap ,0.0
sa nu de Nu ,0.0
Good service polite behavior ,0.492
Good App ,0.744
Easy access food great service ,0.7
update app not work not past address stage Worked fine ,0.167
lot cancel stuff Not convenient ur busy working person ,-0.2
consistently Multiple times rude delivery people cold food unexplained oh not cancel ! aware issue highly recommend walking store want order faster better experience copy paste customer service reply : system taking days respond credit card consistent issue multiple different system clearly not working ,0.21700000000000003
went install food like ! Epic ! ,0.435
Disgraceful half order no contact ,-0.355
,0.0
use app delivery fee bit high s promotion help ,0.278
easier : smiling face heart - : ,0.744
time ordered wrong hour trying cancel getting nt want not know shall hard cancel order ,-0.22799999999999998
far actually app - two Big Mac one thick shake price delivery ! ! - ORDER - ( not delivery ) charge ! ! ; food pay ! ! ! send month app ! ,-0.192
Today app address getting blank screen not ,0.0
times saying sorry delay not YES ,-0.681
Good app good selection ,0.744
want phone number account Period phone number year number phone number associated account not use app not option sign know prior experience trying driver no thing proper customer service ,0.13599999999999998
Took food got faster convenience completely not worth not headache knowing paying fee tip inconvenience ,-0.255
Love app life work ,0.583
payment method comes big worst bug app ,-0.406
Pretty good ,1.0
appreciate eats add like app guess ,0.565
no las de ,-0.524
nt order food credit ,0.464
Awesome ,1.0
Service delivery plus food cost charge vendor jack typical order usually - pickup tip way app bedridden ,0.0
ordered food driver picked order drove away worth food ( ( party ) ) customer support checked confirmed came location Honestly able check avoid like pretty angry Giving coupon compensation guess hurt little ,0.20500000000000002
miss User Eats ! : red heart : : frowning face : ,-0.462
eats not Login ,0.0
professional time lots reliable forever fan ! : : : : : : ,0.341
Food usually comes time hot correct love variety order ,0.344
help eats account no reason ! lost loyal customer not value customer ,-0.055999999999999994
App delivery fee ridiculous ,-0.455
Best ,1.0
excellent ,1.0
Great App regular use : blue heart : ,0.451
Great service ,0.804
good ,1.0
Bad app ,-0.778
nt bring food refund ,0.0
hit miss mad nt like click order drink awesome time saver long days work nt feel like cooking ,0.16000000000000003
Good ,1.0
Terrible app got bug annoying use week not able schedule problem end late delivery happy money instantly fail deliver - business days Support staff intelligence potato contact ,0.06199999999999997
Fast delivery ,0.0
Good ,1.0
hour delay not nice especially business eating like catching flight Trying deliver quality instead quantity highly ,-0.091
,0.0
,0.0
un de hasta dorm para lo no es culpa total de la app no o en el error ,-0.336
Sad service taken ,-0.608
best food delivery ,0.677
best unlike not pin location app wrongly address correct location customer no enter manual address like app ,0.19699999999999998
Eats app no longer works advised resolution not work / appropriate help not exist Trying assistance near impossible stick ,-0.218
Fast efficient ,0.737
Fantastic ! Food quickly hot tasty ,0.493
far good ! User friendly ! Quick delivery ! ,0.636
app error location not found stuck showing address bar ,-0.08399999999999999
Usually fine impossible contact goes wrong order ,-0.131
Great app issue limited payment EFT sort people not link ,0.15699999999999997
cancel order eat food Customer service terrible ,-0.505
start app delivery address ,0.0
eats play store install absolutely not good ,-0.028000000000000025
good ,1.0
,0.0
AVOID disappointment Lazy customer come collect ! ! Delivery man not deliver door bike working surprise knew going delivery think time Eats not willing leave bike unattended come outside partner NO DELIVERY problem EAT ,-0.27099999999999996
pay cash not fan ,-0.627
good helpful ,1.0
Good ,1.0
eats app one best app active good food good delivery timing amazing ,0.702
told come receive order exactly find delivery woman not downstairs order marked money gone not order lodging complaint Support unacceptable ,0.065
rare occasion app actually works selection depressing customer service abysmal - - nonexistent not order wrong Better trek restaurant money service not work place ,-0.092
Disappointed ! ! ! ,-1.0
Food came nt refund ,0.0
,0.0
not order fully ,0.0
Best app food delivery good lot times offer : smiling face heart - : ,0.558
App buggy customer support worst seen not reliable p s ! Avoid like plague not need ,-0.096
nice ,1.0
easier n ,1.0
not complete order ? ? payment method invalid update billing setting problem ,-0.254
Nice ,1.0
Supper ,0.0
Good ,1.0
Super food ,0.796
Pretty great Not nice load shedding overall pretty happy Eats ( rarely ) sorted ,0.504
Great fast service ,0.672
P um e culpa em ,0.0
order delivery mood prepared not getting food not notified Not not going use app multiple times writing review second time maybe restaurant use trustful app food ,0.172
not lie best food delivery app literally no opponent wish ,-0.188
not allow pay essentially wasted app going pay saying payment not despite ticked different wo nt allow pay tried not work ,-0.17600000000000002
missing occasion told no refund ( seemingly based fact not possibly wrong ) Wo not app ,-0.10300000000000001
bien hasta la No s un c y no no solo es ,-0.524
Good service ,0.744
friend not food ETA min delivery took min Food cold partial refund multiple times not refund missing buy credit disappointing ,0.16699999999999998
couple times not ordered fast ,0.0
constantly wrong profile not worth food app use ,-0.443
Good time ,0.744
O app bom no dinheiro ,-0.423
Lots variety ,0.0
order order not receive refund poor service ,0.299
Good experience ,0.744
Good service ,0.744
app whilst restaurant accepted order find hour later order prepared restaurant not power personally think informed order instead waiting delivery constantly status order app Hopefully experience better ,0.294
Great app ! ,0.815
Worthless Food useless order ,-0.74
Good one ,0.744
poor No promotion given ,-0.726
Mint going ,0.0
good ,1.0
Worst app ,-0.804
best food service pocket friendly ,0.712
come ,0.0
Good ,1.0
Great Service ,0.804
Good app food yes ! ,0.747
nice ,1.0
great deliver food not responsibility missing missing till decided share experience received nice message h respond unfortunately no response till ( One month ago ) today no talk feedback ,0.16200000000000003
Awesome nice offer good service ,0.831
Great deal quick easy use ,0.7
Server error repeatedly immediately install ,-0.403
Good app ,0.744
nice ,1.0
like hide / vegetarian not serve real food ,0.08700000000000002
time eats fast food Example chic - - ,0.296
Great ,1.0
update map not find place properly poor track end day listen unwanted ,-0.333
Excellent & love ,1.0
not d recommend use customer service good s no real way fix app ,-0.09199999999999997
Ey e e ,0.0
No ,-1.0
Excellent ! ,1.0
easy use absolutely no drama ! ,0.08100000000000002
food normally cold arrival delivery time time min hour later problem getting food hour half later cancel ( option available ) find meal ,-0.198
crazy ? u let ? ? ? app want eats ,-0.269
register open account App not open account number happen not use app ? ? forget previous password ,0.05
app working nt order wrong ,-0.437
Good ,1.0
Good ,1.0
,0.0
Reliable ,0.0
thing nt like food hot normally u pick Like eat delivery people heating away bag box stay hot ,0.25
got free happy man ,0.778
Good ,1.0
Bad ,-1.0
Good ,1.0
Amazing ,1.0
Good ,1.0
useful app ,0.744
Easy use ,0.744
User friendly ,0.762
food expensive high terrible no different delivery service Screw ,-0.528
Wow ,1.0
Perfect ,1.0
,0.0
,0.0
Easy use smart way bring food not gotten late people great impression Absolute genius Thanks # ,0.592
Stupid super ,0.068
easy use not app arrive time ,0.367
decent app app think pretty expire half way day supposed expire ,0.242
Love app ,0.808
bad service card food driver man food took money took home company not respond DONT WASTE MONEY TIME ,-0.269
good service browsing finding bit tedious ,0.367
App ! ! ! ,0.0
confirm correct leaving restaurant ensure received delivery Thank : victory hand medium - dark skin tone : app currently hungry ,0.372
great app : flexed biceps : : grinning face : ,0.623
hour food food long cold time ,0.0
Awesome service best customer experience ! ,0.741
love convenience going ,0.677
